Единица освещенности.|люкс
Двукрылое насекомое, личинки которого паразитируют в теле животных.|овод
Поле или всходы овса.|овсы
Самка барана.|овца
Отдельная личность.|один
определенный.|один
единственный.|один
определенное.|одно
Повреждение тела огнем или горячим, жгучим.|ожог
Место на теле, поврежденное огнем или горячим, жгучим.|ожог
Газ (соединение трех атомов кислорода) со специфическим запахом, обладающий сильным окислительным и обеззараживающим свойством.|озон
Отверстие в стене здания или стенке транспортного средства, предназначенное для света и воздуха.|окно
Отверстие для выхода или доступа.|окно
Промежуток между просвет в или свободное от время.|окно
Остаток водоема в болоте, трясине и т.п. в виде открытого углубления.|окно
Земляное укрепление, укрытие от пуль, снарядов и т.п. в виде рва с насыпью.|окоп
Роды кошки, крольчихи, белки, львицы, овцы и некоторых других животных.|окот
Морское беспозвоночное животное, десятиногий рак.|омар
Ядовитое двулетнее растение семейства зонтичных; болиголов.|омег
местн. горькое; горечь.|омег
Большая куча оставшейся после обмолота соломы.|омет
Глубокая яма на дне реки или озера.|омут
Быстрина, водоворот, вымывающие на дне реки, озера яму.|омут
Козырная старшая карта, от десятки до туза (в карточных играх).|онер
Белая глина особого качества, идущая на выделку посуды.|опак
Минерал, стекловидный поделочный камень молочно-белого цвета с радужными оттенками или с голубоватым либо с желтоватым отливом; некоторые сорта его считаются драгоценными.|опал
Отдельное музыкальное произведение, обозначенное номером в ряду других произведений данного композитора.|опус
Любое литературное произведение или научный труд автора.|опус
Отражение в человеческом сознании законов объективного мира и общественной практики, полученное в результате активного практического познания.|опыт
Совокупность практически усвоенных знаний, навыков.|опыт
Воспроизведение явления в искусственно созданных условиях с целью его исследования.|опыт
Разновидность государственного объединения, первоначально - нескольких кочевых племен под властью одного хана (в древности у тюркских кочевых народов).|орда
Плод некоторых деревьев и кустарников со съедобным ядром и крепкой скорлупой.|орех
Сорт антрацита и каменного угля.|орех
Хищная сильная птица семейства ястребиных с изогнутым клювом, живущая в гористых или степных местностях.|орел
Государственный герб с изображением орла.|орел
Пасека, место, где стоят ульи.|осек
Домашнее животное семейства лошадиных с длинными ушами.|осел
Группа видов непарнокопытных животных из рода лошадей.|ослы
Поросенок, сосущий матку.|осос
Крупное сорное травянистое растение семейства сложноцветных.|осот
Тяжелая заразная болезнь, сопровождающаяся появлением гнойной сыпи, от которой на коже остаются ямки, рябины.|оспа
Тонкая и длинная щетинка на оболочке зерна у многих злаков.|ость
Волоски в шерсти животного, более длинные, жесткие и иного цвета, чем вся шерсть.|ость
Мужчина по отношению к своим детям.|отец
Самец по отношению к своему потомству (обычно о племенных, породистых лошадях, собаках и т.п.).|отец
Опухание, вздутие тела вследствие скопления в тканях водянистой жидкости.|отек
След, оставшийся от текущей жидкости; подтек.|отек
Роды у коров, у крупных травоядных.|отел
Предшествующие поколения; предки.|отцы
Светлый минерал различных оттенков; разновидность змеевика.|офит
Природная минеральная краска желтого цвета, состоящая из окиси железа или из глин, окрашенных окислами железа, марганца и т.п.|охра
Устройство для разведения и поддержания огня; печь.|очаг
Очистка волокнистого материала (хлопка, шерсти, льна и т.п.) посредством чесания.|очес
Оптический прибор из двух стекол на дужках для исправления недостатков зрения или защиты глаз от повреждений.|очки
Значок на игральной карте, определяющий ее масть, а в совокупности с другими подобными - и ее достоинство, и используемый как единица счета при игре.|очко
Единица счета для обозначения количества выигрышей в спортивных и других играх и в соревнованиях.|очко
Небольшое круглое или узкое отверстие различной формы.|очко
Наружная обшивка деревянных речных судов.|ошва
Религиозно-философское учение древней и средневековой Индии, в основе которой лежит разработанная система приемов и методов самоуправления психикой и физиологическими процессами человека и освобождения его от уз материальной зависимости.|йога
Название самой маленькой буквы греческого алфавита.|йота
Название народного собрания, совета представителей (на Украине, в Белоруссии, Литве и Польше в разные исторические периоды).|рада
Массивная гробница для хранения останков, мощей тех, кого христианская церковь признавала святыми или угодниками.|рака
Четырехугольное, овальное или иной формы обрамление из различных материалов для вставки в него картин, портретов, зеркал и т.п.|рама
Название многих технических приспособлений сходной формы или назначения.|рама
Оконный переплет, в который вставляются стекла.|рама
Название азартной карточной игры.|рамс
Повреждение ткани живого организма, при котором нарушается ее целостность.|рана
Степень отличия, чин, специальное звание.|ранг
Категория, разряд предметов, явлений или лиц.|ранг
Деталь обуви, представляющая собою полоску из кожи, к которой одновременно пришивается подошва и верх обуви.|рант
Край, кромка.|рант
Природный солевой рассол соленых озер, морских заливов с концентрацией, превышающей содержание солей в морской воде нормального состава.|рапа
Масличное и кормовое растение семейства крестоцветных с сизо-зелеными листьями и лимонно-желтыми или ярко-желтыми цветками.|рапс
Исторически сложившаяся группа людей, объединенная общностью происхождения и общностью наследственных физических признаков: цветом кожи, глаз, волос, формой черепа и т.п. (в антропологии).|раса
Совокупность особей внутри ареала, вида или подвида, отличающихся общими биологическими особенностями и связанных общим происхождением и районом распространения (в зоологии, ботанике).|раса
Балкон над входом или перед входом в балаган, на который перед началом представления выходила вся труппа или один актер, чтобы зазывать зрителей.|раус
Торжественный званый вечер, прием.|раут
Старинная испанская серебряная монета.|реал
Стол с наклонной верхней доской, на которую ставится касса со шрифтом для набора.|реал
Острая, режущая боль.|резь
Водное пространство вблизи берега, у входа в порт, предназначенное для якорных стоянок судов.|рейд
Набег подвижных военных сил в тыл противника с боевой целью.|рейд
Путь по заданному маршруту, совершаемый судном или другим транспортным средством.|рейс
Постоянный водоем с естественным течением воды по разработанному ею руслу от истока до устья.|река
Овощное растение семейства крестоцветных с утолщенным корнеплодом, обычно белого или желтого цвета.|репа
Плотная ткань полотняного переплетения с мелким рубчиком.|репс
Способность выражать мысль словами; умение говорить.|речь
Язык в момент произношения слов; звучащий язык.|речь
Характер произношения или произнесения.|речь
Тот или иной вид, стиль языка.|речь
Группа слов, предложение, представляющие собою высказывание (в лингвистике).|речь
Денежная единица Ирана, равная 100 динарам.|риал
Монета соответствующего достоинства.|риал
Большой крытый сарай для сушки снопов и обмолота.|рига
Верхнее облачение священника, надеваемое во время богослужения.|риза
Богатое, украшенное золотом - обычно царское - одеяние (на Руси в XV-XVII вв.).|риза
Металлическая накладка на иконах, располагающаяся на тех местах, где изображена одежда; оклад.|риза
Огражденная канатами площадка для состязаний по боксу.|ринг
Площадка для катания на роликовых коньках; скетинг-ринг.|ринк
Возможная опасность.|риск
Возможный убыток или неудача в деле.|риск
Опасность, от которой производится страхование имущества.|риск
Равномерное чередование элементов (звуковых, двигательных и т.п.), присущее действию, течению, развитию.|ритм
Физиологический процесс рождения, выхода младенца из тела матери.|роды
Инфекционное заболевание, характеризующееся острым воспалением кожи или слизистых оболочек и лимфатической сети кожи.|рожа
Хлебный злак, из зерен которого изготовляется мука для выпечки черного хлеба.|рожь
Кустарниковое растение семейства розовых с крупными душистыми цветками красных, розовых, белых или желтых тонов и со стеблями, обычно покрытыми шипами.|роза
Архитектурное украшение готических окон (или само окно) в виде круга с переплетом из радиально расходящихся от центрального кружка лучей.|роза
Машина для размола волокнистых материалов, служащих для изготовления бумаги.|ролл
Художественный образ, создаваемый актером (на сцене, в кинофильме и т.п.).|роль
Совокупный текст одного действующего лица в пьесе.|роль
Форма поведения человека в ситуации, обусловленной определенными обстоятельствами (в социологии).|роль
Водяные капли, осаждающиеся в теплое время года из влажного воздуха на поверхности растений, почвы и различных наземных предметов вечером, ночью и рано утром при понижении температуры.|роса
Увеличение организма или отдельного органа в процессе развития.|рост
Высота человека, животного; размер по высоте.|рост
Войсковое подразделение, входящее в состав батальона или другой более крупной войсковой единицы.|рота
Небольшой - обычно лиственный - лес.|роща
Специально выделяемый по признакам или с целью участок леса.|роща
Природное минеральное сырье, содержащее металлы или их соединения.|руда
Одна из двух верхних конечностей человека от плеча до конца пальцев.|рука
Одна из верхних конечностей человека как орудие деятельности, труда.|рука
Приспособление для управления ходом автомобиля, водного или воздушного судна и т.п.|руль
Мера угла окружности горизонта, разделенной на 32 части.|румб
Направление к точкам видимого горизонта относительно стран света (от наблюдателя).|румб
Шерсть овцы, сохраняющаяся при стрижке в виде одного сплошного пласта.|руно
Древние письмена скандинавов, сохранившиеся как надписи на камнях, утвари, оружии и других предметах.|руны
Древние народные эпические песни карелов, финнов и эстонцев.|руны
Применяемый при кладке и облицовке зданий камень, лицевая поверхность которого - за исключением кантов - остается неотесанной.|руст
Русская земля (первоначальное название государственного образования восточных славян в IX в.).|русь
Многолетнее южное полукустарниковое растение семейства рутовых с желтыми цветками и листьями, содержащими эфирное масло.|рута
Водное позвоночное животное, дышащее жабрами, с конечностями в виде плавников, с холодной кровью и с кожей, обычно покрытой чешуей.|рыба
Одно из двенадцати зодиакальных созвездий.|рыбы
Класс водных позвоночных животных, дышащих жабрами, с конечностями в виде плавников, с холодной кровью и с кожей, обычно покрытой чешуей.|рыбы
Крайняя передняя часть носа некоторых животных, приспособленная для рытья.|рыло
Быстрый аллюр (средний между галопом и шагом), при котором лошадь попеременно выносит и опускает то правую переднюю и левую заднюю, то левую переднюю и правую заднюю ноги.|рысь
Крупное хищное млекопитающее семейства кошачьих с очень острым зрением.|рысь
Небольшая цилиндрическая чурка для игры в городки.|рюха
Совокупность лиц, объединенных определенными идеями, организацией, классовой принадлежностью и т.п.; среда, состав.|ряды
Верхняя длинная одежда в талию и с широкими рукавами, которую носит православное духовенство.|ряса
Струнный щипковый музыкальный инструмент, распространенный среди народов Закавказья, Ирана, Турции и некоторых других стран.|сааз
Мешок из цельной шкуры животного для хранения и перевозки кумыса, вина, воды у восточных народов.|саба
Древнеисландское поэтическое сказание.|сага
Молодой олень, без пантов, с маленькими, только что показавшимися рожками.|саек
Черный налет на внутренних частях печей, дымоходов - продукт неполного сгорания топлива.|сажа
Жировое отложение в теле животного организма.|сало
Продукт, получаемый из жировых веществ.|сало
Смазочное вещество минерального или растительного происхождения.|сало
Зимняя повозка на полозьях.|сани
Окоп, траншея, ход сообщения, отрываемые под огнем противника при сближении с ним.|сапа
Низший служащий инквизиции.|сбир
Старинное название судебного и полицейского стражника в Италии.|сбир
Перебой в движении, работе из-за неисправности.|сбой
Скачок или несколько скачков во время бега на рыси (в конном спорте).|сбой
Заминка в беге при переходе лошади на скачку.|сбой
Голова, ноги и внутренности заколотого на мясо животного.|сбой
Совокупность разнородных предметов.|сбор
Лекарство, состоящее из смеси трав.|сбор
Продажа потребителю.|сбыт
Незаконное распространение нелегальная торговля.|сбыт
Бревно, брус, забиваемые в грунт для опоры сооружения.|свая
Выступающая, свешивающаяся часть предмета.|свес
местн. Крыша на столбах; навес.|свес
Лучистая энергия, воспринимаемая глазом и делающая окружающий мир видимым.|свет
Место, откуда исходит освещение.|свет
Источник освещения и приспособление для освещения в домах и на улице.|свет
Земля, Вселенная.|свет
Люди, населяющие Землю.|свет
Общественная среда, общество.|свет
Избранный круг, высшее общество.|свет
Изъян в в виде сквозной дыры, скважины.|свищ
Скрытая пустота, раковина в металлическом литье.|свищ
Аномальный канал, выходящий на поверхность тела человека или животного или соединяющий полые органы между собою.|свищ
Собранные, сведенные в единое целое и расположенные в определенном порядке тексты, документы, законы и т.п.|свод
Изгиб.|сгиб
Понижение уровня воды у берегов, вызванное действием ветра.|сгон
Почетный титул мусульманина, претендующего на происхождение от пророка Мухаммеда (у восточных народов, исповедующих ислам).|сеид
Сословно-представительное учреждение в некоторых государствах Восточной Европы в эпоху феодализма.|сейм
Название парламента в некоторых странах.|сейм
Несгораемый шкаф для хранения ценностей и документов.|сейф
Помещение, приспособленное для хранения ценных предметов в полной безопасности.|сейф
Все, что относится к сфере половых отношений.|секс
Большое крестьянское селение, обычно хозяйственный и административный центр для близлежащих более мелких населенных пунктов.|село
Любой населенный пункт не городского типа.|село
Селение с церковью (в Российском государстве до 1917 г.).|село
Грязевой или грязекаменный поток, возникающий в русле горной реки вследствие бурного кратковременного паводка.|сель
Компонент смысла языковой единицы; семема.|сема
Зерно, из которого развивается новое растение.|семя
Зерна растения как продукт или пища.|семя
Нежилая часть дома, соединяющая жилое помещение с крыльцом или разделяющая две половины дома (в деревенских избах и небольших городских домах).|сени
Скошенная и высушенная трава, идущая на корм скоту.|сено
Навес, полог в алтаре над престолом.|сень
Химический элемент, легко воспламеняющееся вещество желтого или сероватого цвета.|сера
местн. Смола, выделяющаяся из хвойных деревьев.|сера
Крепостной крестьянин, находящийся в личной зависимости от феодала (в средние века в Западной Европе).|серв
Ручное орудие для срезывания злаков с корня, представляющее собою длинный изогнутый, мелко зазубренный нож.|серп
Приспособление для ловли рыб, птиц и т.п., состоящее из перекрещивающихся нитей, закрепленных на равных промежутках узлами.|сеть
Приспособление из перекрещивающихся, переплетающихся веревок, проволоки и т.п.|сеть
Кровавая битва, сражение (теперь обычно в торжественно-риторическом употреблении).|сеча
Яблочное вино, насыщенное углекислым газом.|сидр
Мера веса, а также серебряная монета в древней Иудее и древней Персии.|сикл
Способность живых существ напряжением мышц производить физические движения, действия; физическая энергия.|сила
Способность проявления деятельности, состояния, отличающаяся определенной степенью напряженности, устремленности.|сила
Энергия как причина, выводящая тело, материю из состояния покоя или изменяющая направление, скорость движения.|сила
Величина, равная произведению массы тела на его ускорение (в механике).|сила
Все материальное как источник деятельности, движения, изменения.|силы
Физическая способность делать, совершать жизненная энергия, жизнеспособность.|силы
Совокупность физической, духовной и умственной энергии человека, необходимой для совершения действия, поступка и т.п.|силы
Способность, возможность делать, совершать.|силы
Род решета с частой сеткой, служащего для просеивания муки и других сыпучих веществ, для процеживания и т.п.|сито
Прибор для определения тонкости помола.|сито
Наклонная поверхность пологий спуск.|скат
Наклонная подземная выработка, не имеющая непосредственного выхода на поверхность и предназначенная для спуска полезного ископаемого или пустых пород самотеком.|скат
Комплект колесных пар паровоза, вагона.|скат
Крупная хищная морская рыба подкласса акулообразных с широким плоским телом и длинным узким хвостом, иногда оканчивающимся шипом.|скат
Саморазгружающийся ящик для подъема груза, движущийся по наклонной или вертикальной плоскости.|скип
Небольшое жилище для монахов-отшельников, устраивающееся в отдалении от основных построек (в православных монастырях).|скит
Старообрядческий монастырь или поселок монастырского типа в глухой пустынной местности.|скит
Длинная узкая гоночная лодка с подвижным сиденьем и с гладкой обшивкой.|скиф
Быстрое движение прыжками, скачками.|скок
Покатая поверхность, склон, скат (горы, берега и т.п.); откос.|скос
Отпечаток, оттиск ноги или лапы на поверхности.|след
Углубление, знак, метка на от прикосновения, надавливания, царапания.|след
Сохранившаяся, уцелевшая часть остаток.|след
Устройство для стока воды или другой жидкости.|слив
Наиболее крутое - обычно узкое - место в водопаде, горной реке и т.п., где вода льется вниз с наибольшей силой и стремительностью.|слив
Сооружение в виде наклонной плоскости с тележкой для подъема судов на берег и спуска их на воду.|слип
Наклонный туннель на китобойных судах, служащий для вытаскивания китов из воды на палубу.|слип
Звук или сочетание звуков в слове, произносимые одним толчком выдыхаемого воздуха (в лингвистике).|слог
Способ, манера изложения мыслей; стиль.|слог
Пласт лежащий в ряду других пластов или покрывающий поверхность.|слой
Крупное травоядное млекопитающее с длинным хоботом и двумя бивнями.|слон
Шахматная фигура, передвигающаяся на любое число клеток по диагонали.|слон
Одно из пяти внешних чувств, дающее возможность воспринимать звуки при помощи специального органа - уха.|слух
Прерывистые звуки, вызываемые короткими и сильными выдыхательными движениями как проявление радости, веселья, удовольствия и т.п.|смех
Густая пелена дыма, копоти, выхлопных газов и т.п., характерная для атмосферы промышленных центров и больших городов.|смог
Старинный русский смычковый музыкальный инструмент.|смык
Связка срезанных стеблей с колосьями (хлебных злаков и некоторых других растений).|сноп
Хищная ночная птица с большой круглой головой, большими глазами и с коротким загнутым клювом.|сова
Отряд хищных птиц, к которому относятся сова, филин, сыч и т.п.|совы
Общее название натриевых солей угольной кислоты, имеющих широкое применение в технике, медицине, быту.|сода
Влага и питательные вещества, содержащиеся в почве и извлекаемые из нее растительными организмами.|соки
Химическое соединение, вещество, представляющее собою продукт полного или частичного замещения водорода кислоты металлом.|соль
Тело организма.|сома
Совокупность всех клеток организма, кроме половых.|сома
Подотряд рыб отряда карпообразных.|сомы
Семейство млекопитающих отряда грызунов.|сони
Категория, разряд - обычно товара - определенного качества, расценки.|сорт
Разновидность товара, изделия по выработке, материалу и т.п.|сорт
Разновидность культурных растений, отличающаяся от других разновидностей того же вида свойствами, признаками.|сорт
Ячейки из воска в виде правильных рядов, создаваемые пчелами и осами для хранения меда и кладки яиц.|соты
Жидкая приправа к кушанью; подливка.|соус
Мягкий широкий диван с подлокотниками и низкой спинкой.|софа
Примитивное земледельческое орудие для распахивания земли.|соха
Условная мера земли, являвшаяся единицей поземельного налогового обложения (на Руси XIII-XVIII вв.).|соха
Тесное единение, связь.|союз
Объединение организаций, государств для совместных целей, действий.|союз
Государственное объединение, состоящее из нескольких меньших государств, земель, племен, родов и т.п. с общей верховной властью.|союз
Общественная организация, общество.|союз
Служебная часть речи, служащая для соединения слов и предложений (в лингвистике).|союз
Место падения воды с высоты (на водопадах, порогах и т.п.).|спад
Синдром приобретенного иммунодефицита.|спид
Краткая приветственная речь на торжественном обеде, банкете и т.п. в честь.|спич
Словесное состязание при обсуждении двумя или несколькими лицами, при котором каждая из сторон отстаивает свое мнение, свою правоту.|спор
Взаимное притязание на владение, обладание разрешаемое судом.|спор
Бревенчатое строение, сооружение, состоящее из нескольких венцов, скрепленных в форме четырехугольника.|сруб
Продолжительность деятельности.|стаж
Срок, в течение которого лицо, приступившее к работе, деятельности, приобретает практический опыт и овладевает специальностью.|стаж
Туловище человека.|стан
Место временного расположения; лагерь.|стан
Войско воюющей стороны.|стан
Большая машина или система машин, служащие для изготовления крупных металлических изделий.|стан
Опора, основание для рабочих орудий, механизмов.|стан
Административно-полицейское подразделение уезда (в Российском государстве до 1917 г.).|стан
Группа мелких животных одного вида, держащихся вместе.|стая
Несколько собак, специально подготовленных для совместной охоты, езды и т.п.|стая
Тонкая палочка с ременной петлей на конце, применяемая как хлыст при верховой езде.|стек
Единица силы, равная силе, которая сообщает массе в одну тонну ускорение в один метр в секунду.|стен
Ритмический танец с чечеткой.|степ
Единица ритмически организованной художественной речи, обычно рифмованной, как правило, совпадающая со строкой.|стих
Ритмически организованная - обычно рифмованная - художественная речь.|стих
Произведение устной народной поэзии на библейскую или церковно-религиозную тему.|стих
Большая куча плотно уложенного сена, соломы или снопов округлой или четырехугольной формы с закругленной вершиной.|стог
Течение жидкости по наклонной поверхности.|сток
Канава, желоб или иное устройство, по которому стекает поток.|сток
Количество воды, стекающей в реку, озеро, океан за определенный период.|сток
Жидкость, стекающая, вытекающая.|сток
Предмет мебели в виде широкой горизонтальной доски на одной или нескольких ножках (иногда с ящиками, тумбочками), на который кладут или ставят.|стол
Такой предмет мебели вместе со всем, что поставлено на нем для еды.|стол
Гора, возвышенность, имеющая плоскую вершину и крутые склоны.|стол
Протяжный жалобный звук, издаваемый живым существом от боли, горя, тоски.|стон
Короткий отрывистый звук от удара или падения твердого предмета.|стук
Короткие отрывистые звуки, производимые работающим механизмом, машиной.|стук
Звук, удар в дверь, окно и т.п., предупреждающий, оповещающий.|стук
Предмет мебели на ножках и со спинкой, предназначенный для сидения одного человека.|стул
Подставка под механизм, инструмент, строение и т.п.|стул
Действие кишечника; испражнение.|стул
